Edad,Sexo,Facultad,Pregunta,Opción,Comentarios
20,F,Derecho,7,1,
20,F,Derecho,8,4,
20,F,Derecho,9,2,
20,F,Derecho,10,1,
20,F,Derecho,11,2,
20,F,Derecho,12,2,
21,F,Derecho,1,2,
21,F,Derecho,2,3,
21,F,Derecho,3,"1,2,3,4",
21,F,Derecho,4,1,
21,F,Derecho,5,3,
21,F,Derecho,6,3,
21,F,Derecho,7,3,
21,F,Derecho,8,"2,4",
21,F,Derecho,9,2,
21,F,Derecho,10,4,
21,F,Derecho,11,2,
21,F,Derecho,12,4,
20,F,Derecho,1,1,
20,F,Derecho,2,1,
20,F,Derecho,3,1,
20,F,Derecho,4,2,
20,F,Derecho,5,1,
20,F,Derecho,6,1,
20,F,Derecho,7,2,
20,F,Derecho,8,4,
20,F,Derecho,9,2,
20,F,Derecho,10,1,
20,F,Derecho,11,2,
20,F,Derecho,12,4,
21,F,Derecho,1,2,
21,F,Derecho,2,1,
21,F,Derecho,3,2,
21,F,Derecho,4,1,
21,F,Derecho,5,3,
21,F,Derecho,6,3,
21,F,Derecho,7,3,
21,F,Derecho,8,2,
21,F,Derecho,9,4,
21,F,Derecho,10,1,
21,F,Derecho,11,2,
21,F,Derecho,12,1,
21,F,Derecho,1,3,
21,F,Derecho,2,3,
21,F,Derecho,3,2,
21,F,Derecho,4,1,
21,F,Derecho,5,3,
21,F,Derecho,6,1,
21,F,Derecho,7,2,
21,F,Derecho,8,1,
21,F,Derecho,9,3,
21,F,Derecho,10,4,
21,F,Derecho,11,1,
21,F,Derecho,12,1,
20,F,Derecho,1,4,
20,F,Derecho,2,3,
20,F,Derecho,3,3,
20,F,Derecho,4,1,
20,F,Derecho,5,1,
20,F,Derecho,6,2,
20,F,Derecho,7,4,
20,F,Derecho,8,3,
20,F,Derecho,9,3,
20,F,Derecho,10,4,
20,F,Derecho,11,2,
20,F,Derecho,12,1,
26,F,Derecho,1,3,
26,F,Derecho,2,3,
26,F,Derecho,3,3,
26,F,Derecho,4,1,
26,F,Derecho,5,1,
26,F,Derecho,6,2,
26,F,Derecho,7,3,
26,F,Derecho,8,1,
26,F,Derecho,9,3,
26,F,Derecho,10,4,
26,F,Derecho,11,2,
26,F,Derecho,12,4,
18,F,Derecho,1,3,
18,F,Derecho,2,3,
18,F,Derecho,3,3,
18,F,Derecho,4,3,
18,F,Derecho,5,3,
18,F,Derecho,6,3,
18,F,Derecho,7,3,
18,F,Derecho,8,2,
18,F,Derecho,9,2,
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,3,
18,F,Derecho,1,3,
18,F,Derecho,2,3,
18,F,Derecho,3,2,
18,F,Derecho,4,1,
18,F,Derecho,5,3,
18,F,Derecho,6,4,
18,F,Derecho,7,3,
18,F,Derecho,8,2,
18,F,Derecho,9,3,
18,F,Derecho,10,1,
18,F,Derecho,11,2,
18,F,Derecho,12,1,
22,F,Derecho,1,3,
22,F,Derecho,2,3,
22,F,Derecho,3,2,
