Edad,Sexo,Facultad,Pregunta,Opción,Comentarios,Pregunta_texto,Llave,Respuesta_texto
19,F,Derecho,7,3,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,73,Sí pero es importante capacitar a la c. universitaria
19,F,Derecho,8,2,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,82,Prefiero la prevención con c. de concientización
19,F,Derecho,9,3,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,93,Es necesaria porque son sujetos de derecho
19,F,Derecho,10,3,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,103,"3. Retiro digno: adopción, jubilación o santuario"
19,F,Derecho,11,3,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",113,Soy vegetariano
19,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
20,F,Derecho,1,3,,¿Conoces de la existencia del derecho animal?,13,Sí pero no conozco del tema
20,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
20,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
20,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
20,F,Derecho,5,1,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,51,Ser vivo
20,F,Derecho,6,3,,¿Sabes qué hacer ante una situación de maltrato animal?,63,Investigo el procedimiento
20,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
20,F,Derecho,8,1,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,81,Sí
20,F,Derecho,9,3,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,93,Es necesaria porque son sujetos de derecho
20,F,Derecho,10,1,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,101,"1. Limitación de tiempo, alimentación y reposo"
20,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
20,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
19,F,Derecho,1,1,,¿Conoces de la existencia del derecho animal?,11,No
19,F,Derecho,2,0,,¿Consideras que los animales tienen derechos?,20,#N/A
19,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
19,F,Derecho,4,2,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,42,2. Animales con Sistema Nervioso Central
19,F,Derecho,5,1,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,51,Ser vivo
19,F,Derecho,6,1,,¿Sabes qué hacer ante una situación de maltrato animal?,61,No   
19,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
19,F,Derecho,8,1,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,81,Sí
19,F,Derecho,9,4,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,94,Representa un avance en la sociedad 
19,F,Derecho,10,1,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,101,"1. Limitación de tiempo, alimentación y reposo"
